store,sku,name,brand,category,quantity_value,quantity_unit,pack_size,price_eur,price_bgn
Kaufland,20914406,LINDT LINDOR Бонбони сърце различни видове,Lindt,Сладкарски изделия,,,,7.15,13.98
Kaufland,20911342,RAFFAELLO Бонбони сърце,Raffaello,Сладкарски изделия,,,,4.95,9.68
Kaufland,20586602,NIEDEREGGER Марципанови бонбони сърца,,Сладкарски изделия,,,,6.95,13.59
Kaufland,20704386,Eduscho Кафе на зърна различни видове,,Кафе и чай,,,,15.33,29.98
Kaufland,00097102,Roshen Шоколадови бонбони Cherry queen,Roshen,Напитки безалкохолни,,,,3.06,5.98
Kaufland,20854352,МИРАЖ Тунквани бисквити Макси,,Сладкарски изделия,,,,1.53,2.99
Kaufland,00075725,Царевец Обикновени вафли,,Сладкарски изделия,,,,3.57,6.98
Kaufland,00111465,Popz Пуканки за микровълнова,,Снаксове,,,,2.8,5.48
Kaufland,00107036,Roshen Вафли Johnny Krocker различни видове,Roshen,Сладкарски изделия,,,,4.85,9.49
Kaufland,00081773,Алпи Дъвчащи бонбони различни видове,,Сладкарски изделия,,,,1.48,2.89
Kaufland,02700352,Haribo Желирани бонбони различни видове,Haribo,Сладкарски изделия,,,,0.86,1.68
Kaufland,20129247,Nescafe Разтворимо кафе 2в1 или 3в1,Nescafe,Кафе и чай,,,,1.48,2.89
Kaufland,20745813,Nescafe Разтворимо кафе 2в1 или 3в1,Nescafe,Кафе и чай,,,,1.48,2.89
Kaufland,02402000,Tchibo Espresso Мляно кафе различни видове,Tchibo,Кафе и чай,,,,5.11,9.99
Kaufland,02402010,Tchibo Espresso Мляно кафе различни видове,Tchibo,Кафе и чай,,,,5.11,9.99
Kaufland,02500058,Kit Kat chunky/ Lion Десерт различни вкусове,Kit Kat,Сладкарски изделия,,,,0.59,1.15
Kaufland,00047372,Nestle Lion Десерт различни видове,Nestle,Сладкарски изделия,,,,0.59,1.15
Kaufland,00048663,Насладки Бисквити с пълнеж различни видове,,Сладкарски изделия,,,,0.96,1.88
Kaufland,20855988,Насладки Бисквити с пълнеж синя слива,,Сладкарски изделия,,,,0.96,1.88
Kaufland,00020022,Споко Тунквана вафла Макси,,Други,,,,0.28,0.55
Kaufland,00062075,Kimbo Кафе на зърна,,Кафе и чай,,,,18.91,36.98
Kaufland,20728575,Ruffles Kартофен чипс различни вкусове,,Снаксове,,,,1.15,2.25
Kaufland,20728459,Ruffles Картофен чипс различни вкусове,,Снаксове,,,,1.15,2.25
Kaufland,00110335,Ная Вафли различни вкусове,,Сладкарски изделия,,,,2.8,5.48
Kaufland,20280758,Nescafe Dolce Gusto Кафе капсули различни видове,Nescafe,Кафе и чай,,,,8.68,16.98
Kaufland,20280757,Nescafe Dolce Gusto Кафе капсули различни видове,Nescafe,Кафе и чай,,,,8.68,16.98
Kaufland,02700056,Ferrero Rocher Шоколадови бонбони,Ferrero,Напитки безалкохолни,,,,5.62,10.99
Kaufland,02700021,Raffaello Бонбони кокос,Raffaello,Сладкарски изделия,,,,3.37,6.59
Kaufland,02700983,Merci Шоколадови бонбони,Merci,Напитки безалкохолни,,,,8.68,16.98
Kaufland,00067821,ION DARK Натурален шоколад 90 г,,Напитки безалкохолни,90.0,g,,1.83,3.58
Kaufland,00067819,ION Шоколад различни видове,,Напитки безалкохолни,,,,1.83,3.58
Kaufland,20791661,Kit Kat Шоколад различни вкусове,Kit Kat,Напитки безалкохолни,,,,1.53,2.99
Kaufland,20791662,Kit Kat Шоколад различни вкусове,Kit Kat,Напитки безалкохолни,,,,1.53,2.99
Kaufland,20791660,Kit Kat Шоколад различни видове,Kit Kat,Напитки безалкохолни,,,,1.53,2.99
Kaufland,00103148,Lacmi Шоколад различни видове,,Напитки безалкохолни,,,,1.02,1.99
Kaufland,00091672,Lacmi Шоколад избрани видове,,Напитки безалкохолни,,,,1.02,1.99
Kaufland,00033101,Lindt Les Grandes Шоколад различни видове,Lindt,Напитки безалкохолни,,,,4.85,9.49
Kaufland,00033094,Lindt Шоколад Les Grandes,Lindt,Напитки безалкохолни,,,,4.85,9.49
Kaufland,02500152,Toblerone Шоколад различни видове,Toblerone,Напитки безалкохолни,,,,1.53,2.99
Kaufland,00110607,Своге Шоколад различни видове,,Напитки безалкохолни,,,,0.96,1.88
Kaufland,00110605,Своге Шоколад различни видове,,Напитки безалкохолни,,,,0.96,1.88
Kaufland,00081002,Milka Шоколадови бонбони различни видове,Milka,Напитки безалкохолни,,,,1.94,3.79
Kaufland,20819637,KATY Шоколадови бонбони асорти,,Напитки безалкохолни,,,,3.06,5.98
Kaufland,00044152,Loacker Шоколадови бонбони Rose различни видове,,Напитки безалкохолни,,,,5.87,11.48
Kaufland,02700220,Melbon Шоколадови бонбони Морски фигури,,Напитки безалкохолни,,,,4.08,7.98
Kaufland,00081004,Milka Шоколадови бонбони различни видове,Milka,Напитки безалкохолни,,,,1.94,3.79
Kaufland,00106496,Pergale Шоколадови бонбони асорти,,Напитки безалкохолни,,,,1.53,2.99
Kaufland,00106497,PERGALE Бонбони асорти избрани видове,,Сладкарски изделия,,,,1.53,2.99
Kaufland,20871117,Suchard Шоколадови бонбони различни видове,Suchard,Напитки безалкохолни,,,,2.55,4.99
Kaufland,20871063,Suchard Шоколадови бонбони различни видове,Suchard,Напитки безалкохолни,,,,2.55,4.99
Kaufland,20066801,SHOOTERS Шоколадови бонбони с алкохол различни вкусове,,Напитки безалкохолни,,,,2.04,3.99
Kaufland,00076058,Nescafe Classic Разтворимо кафе,Nescafe,Кафе и чай,,,,7.15,13.98
Kaufland,02700731,Арина Халва различни видове,,Сладкарски изделия,,,,1.02,1.99
Kaufland,00099108,Lindt Lindor Шоколадови бонбони различни видове,Lindt,Напитки безалкохолни,,,,7.15,13.98
Kaufland,20773470,Baileys Ликьор original 17% vol,,Напитки алкохолни,,,,13.8,26.99
Kaufland,00103313,ЯМБОЛСКА гроздова 40% vol,,Други,,,,9.2,17.99
Kaufland,02100520,Johnnie Walker Шотландско уиски Black label,Johnnie Walker,Напитки алкохолни,,,,21.47,41.99
Kaufland,02100570,Jameson Ирландско уиски,,Напитки алкохолни,,,,17.33,33.89
Kaufland,02200162,Plomari Узо,,Други,,,,8.17,15.98
Kaufland,02200820,Tikves Гроздова ракия Zolta LR,,Напитки алкохолни,,,,12.26,23.98
Kaufland,00029192,Extra Zytnia Водка,,Напитки алкохолни,,,,6.64,12.99
Kaufland,02200856,Absolut Водка различни видове,Absolut,Напитки алкохолни,,,,8.43,16.49
Kaufland,00012114,"Mezzek Червено, Бяло вино или Розе различни сортове",,Напитки алкохолни,,,,7.15,13.98
Kaufland,00046230,San Terra Газирана напитка различни видове,,Хляб и печива,,,,0.45,0.88
Kaufland,02201391,Пещерска Гроздова ракия,Пещерска,Напитки алкохолни,,,,7.66,14.98
